bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,187.15,189.65,192.15,5.0,12.0,600.0
2,295.99,298.49,300.99,5.0,12.0,600.0
3,356.96,359.46,361.96,5.0,12.0,600.0
4,392.23,394.73,397.23,5.0,12.0,600.0
5,414.89,417.39,419.89,5.0,12.0,600.0
6,432.02,434.52,437.02,5.0,12.0,600.0
7,447.11,449.61,452.11,5.0,12.0,600.0
8,461.59,464.09,466.59,5.0,12.0,600.0
9,475.96,478.46,480.96,5.0,12.0,600.0
10,490.32,492.82,495.32,5.0,12.0,600.0
11,504.68,507.18,509.68,5.0,12.0,600.0
12,519.04,521.54,524.04,5.0,12.0,600.0
13,533.41,535.91,538.41,5.0,12.0,600.0
14,547.89,550.39,552.89,5.0,12.0,600.0
15,562.98,565.48,567.98,5.0,12.0,600.0
16,580.11,582.61,585.11,5.0,12.0,600.0
17,602.77,605.27,607.77,5.0,12.0,600.0
18,638.04,640.54,643.04,5.0,12.0,600.0
19,699.01,701.51,704.01,5.0,12.0,600.0
20,807.85,810.35,812.85,5.0,12.0,600.0
