gap_no,gap_name,between,gap_mm
0,left_edge_gap,left_frame - bar_1,118.82
1,gap_1,bar_1 - bar_2,76.6
2,gap_2,bar_2 - bar_3,65.65
3,gap_3,bar_3 - bar_4,58.0
4,gap_4,bar_4 - bar_5,51.95
5,gap_5,bar_5 - bar_6,46.88
6,gap_6,bar_6 - bar_7,42.51
7,gap_7,bar_7 - bar_8,38.64
8,gap_8,bar_8 - bar_9,35.19
9,gap_9,bar_9 - bar_10,32.06
10,gap_10,bar_10 - bar_11,29.23
11,gap_11,bar_11 - bar_12,26.64
12,gap_12,bar_12 - bar_13,24.26
13,gap_13,bar_13 - bar_14,22.09
14,gap_14,bar_14 - bar_15,20.09
15,gap_15,bar_15 - bar_16,18.26
16,gap_16,bar_16 - bar_17,16.58
17,gap_17,bar_17 - bar_18,15.04
18,gap_18,bar_18 - bar_19,13.64
19,gap_19,bar_19 - bar_20,12.37
20,gap_20,bar_20 - bar_21,11.23
21,gap_21,bar_21 - bar_22,10.2
22,gap_22,bar_22 - bar_23,9.29
23,gap_23,bar_23 - bar_24,8.5
24,gap_24,bar_24 - bar_25,7.81
25,gap_25,bar_25 - bar_26,7.24
26,gap_26,bar_26 - bar_27,6.77
27,gap_27,bar_27 - bar_28,6.41
28,gap_28,bar_28 - bar_29,6.15
29,gap_29,bar_29 - bar_30,5.99
30,right_edge_gap,bar_30 - right_frame,5.94
